datum,lokal_adress,lokal_url,lokal_kvm,bolag,orgnr,anstallda,sni,postort
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,161826036582,0,68201,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020078088,0,64994,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020111251,0,65300,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168024006291,0,00000,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020135391,0,94990,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020137207,0,00000,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020152339,0,64994,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168020170430,0,00000,Stockholm
2026-03-25,Götgatan 15,https://www.lokalguiden.se/lokal/8-västberga-alle-60,300,,168024927231,0,63100,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168020003904,0,85599,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168020088665,0,64994,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168024050489,0,00000,Sundbyberg
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168024815980,0,64320,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168024072822,0,00000,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168024125539,0,94990,Stockholm
2026-03-25,Karlavägen 62,https://www.lokalguiden.se/lokal/karlavägen-62,194,,168024256151,0,00000,Stockholm
